id,row_no,avg_period,date_from,time_from,full_csv_parsed,station,date_to,time_to,parameter,file_path
233,19,4 Hours,01/01/2015,12:00 AM,1,BTM,30/04/2015,11:45 PM,Bar Pressure(Bar Pressure),/home/thej/code/cpcb/data/raw/2015_BTM_1/pressure.csv
234,19,4 Hours,01/01/2015,12:00 AM,1,BTM,30/04/2015,11:45 PM,Sulfur Dioxide(SO2),/home/thej/code/cpcb/data/raw/2015_BTM_1/s02.csv
235,19,4 Hours,01/01/2015,12:00 AM,1,BTM,30/04/2015,11:45 PM,Ethyl Benzene(Ethyl Benzene),/home/thej/code/cpcb/data/raw/2015_BTM_1/ethyl.csv
236,19,4 Hours,01/05/2015,12:00 AM,1,BWSSB,31/08/2015,11:45 PM,Temperature(Temp),/home/thej/code/cpcb/data/raw/2015_BWSSB_2/temp.csv
237,19,4 Hours,01/05/2015,12:00 AM,1,BWSSB,31/08/2015,11:45 PM,Benzene(Benzene),/home/thej/code/cpcb/data/raw/2015_BWSSB_2/benzene.csv
238,19,4 Hours,01/05/2015,12:00 AM,1,BWSSB,31/08/2015,11:45 PM,Nitric Oxide(NO),/home/thej/code/cpcb/data/raw/2015_BWSSB_2/no.csv
239,19,4 Hours,01/05/2015,12:00 AM,1,BWSSB,31/08/2015,11:45 PM,Relative Humidity(RH),/home/thej/code/cpcb/data/raw/2015_BWSSB_2/rh.csv
240,19,4 Hours,01/05/2015,12:00 AM,1,BWSSB,31/08/2015,11:45 PM,Toluene(Toluene),/home/thej/code/cpcb/data/raw/2015_BWSSB_2/toluene.csv
241,19,4 Hours,01/05/2015,12:00 AM,1,BWSSB,31/08/2015,11:45 PM,Sulfur Dioxide(SO2),/home/thej/code/cpcb/data/raw/2015_BWSSB_2/so2.csv
242,19,4 Hours,01/05/2015,12:00 AM,1,BWSSB,31/08/2015,11:45 PM,Carbon Monoxide(CO),/home/thej/code/cpcb/data/raw/2015_BWSSB_2/co.csv
243,19,4 Hours,01/05/2015,12:00 AM,1,BWSSB,31/08/2015,11:45 PM,PM 2.5(PM2.5),/home/thej/code/cpcb/data/raw/2015_BWSSB_2/pm25.csv
244,19,4 Hours,01/05/2015,12:00 AM,1,BWSSB,31/08/2015,11:45 PM,Oxides of Nitrogen(NOx),/home/thej/code/cpcb/data/raw/2015_BWSSB_2/nox.csv
245,19,4 Hours,01/05/2015,12:00 AM,1,BWSSB,31/08/2015,11:45 PM,Bar Pressure(Bar Pressure),/home/thej/code/cpcb/data/raw/2015_BWSSB_2/pressure.csv
246,19,4 Hours,01/05/2015,12:00 AM,1,BWSSB,31/08/2015,11:45 PM,Ethyl Benzene(Ethyl Benzene),/home/thej/code/cpcb/data/raw/2015_BWSSB_2/ethyl.csv
247,19,4 Hours,01/05/2015,12:00 AM,1,BWSSB,31/08/2015,11:45 PM,Nitrogen Dioxide(NO2),/home/thej/code/cpcb/data/raw/2015_BWSSB_2/no2.csv
248,19,4 Hours,01/05/2015,12:00 AM,1,BTM,31/08/2015,11:45 PM,Temperature(Temp),/home/thej/code/cpcb/data/raw/2015_BTM_2/temp.csv
249,19,4 Hours,01/05/2015,12:00 AM,1,BTM,31/08/2015,11:45 PM,Benzene(Benzene),/home/thej/code/cpcb/data/raw/2015_BTM_2/benzene.csv
250,19,4 Hours,01/05/2015,12:00 AM,1,BTM,31/08/2015,11:45 PM,Nitric Oxide(NO),/home/thej/code/cpcb/data/raw/2015_BTM_2/no.csv
251,19,4 Hours,01/05/2015,12:00 AM,1,BTM,31/08/2015,11:45 PM,Relative Humidity(RH),/home/thej/code/cpcb/data/raw/2015_BTM_2/rh.csv
252,19,4 Hours,01/05/2015,12:00 AM,1,BTM,31/08/2015,11:45 PM,Toluene(Toluene),/home/thej/code/cpcb/data/raw/2015_BTM_2/toluene.csv
253,19,4 Hours,01/05/2015,12:00 AM,1,BTM,31/08/2015,11:45 PM,Sulfur Dioxide(SO2),/home/thej/code/cpcb/data/raw/2015_BTM_2/so2.csv
254,19,4 Hours,01/05/2015,12:00 AM,1,BTM,31/08/2015,11:45 PM,Carbon Monoxide(CO),/home/thej/code/cpcb/data/raw/2015_BTM_2/co.csv
